mechanism,rate,feature,auroc_mean,auroc_std,missing_rate_mean,n_seeds,leak_strength
MAR,0.2,lab_51222,0.5155830372041881,0.010664189686539868,0.2935089837369505,20,0.015583037204188077
MAR,0.2,lab_51248,0.5180283773072731,0.013186241217617599,0.29432923798025706,20,0.018028377307273136
MAR,0.2,lab_51249,0.5191548045384803,0.013490918995137303,0.2943682977061288,20,0.019154804538480286
MAR,0.2,lab_51250,0.5183429157183003,0.0081343248575427,0.2952524678644982,20,0.018342915718300268
MAR,0.2,lab_51265,0.5216718547787285,0.014544063069828559,0.29057950429656987,20,0.02167185477872846
MAR,0.2,lab_51274,0.4065588008876343,0.010305175754733421,0.5435835523045238,20,0.0934411991123657
MAR,0.2,lab_51275,0.3967856740121893,0.013043522870854831,0.5623535260279809,20,0.10321432598781072
MAR,0.2,lab_51277,0.5204773660172519,0.00944333907349261,0.2947233861231447,20,0.02047736601725192
MAR,0.2,lab_51279,0.5215801103802815,0.011854526626598628,0.29480860734322845,20,0.021580110380281514
MAR,0.2,lab_51301,0.5172924120782424,0.010842081125832709,0.29366877352460763,20,0.017292412078242392
MAR,0.2,lab_52172,0.49476752114970707,0.0069079961956722115,0.6420424685746751,20,0.005232478850292932
MAR,0.2,marital_status,0.5776218573637946,0.010749459408293143,0.27021163269654147,20,0.07762185736379457
MAR,0.2,race,0.5317373383672235,0.011443981699358457,0.2491726439883531,20,0.03173733836722348
MAR,0.3,admission_location,0.5490639669486085,0.00843005450082147,0.37545628861586533,20,0.049063966948608484
MAR,0.3,admission_type,0.5516234926724575,0.018281702654255355,0.37423833534550105,20,0.05162349267245747
MAR,0.3,anchor_age,0.5505838788772428,0.00961443643571578,0.37598537035721896,20,0.050583878877242805
MAR,0.3,anchor_year,0.5514449501041557,0.01321190135149765,0.3754243306583339,20,0.05144495010415573
MAR,0.3,anchor_year_group,0.5500124877005818,0.014386803951661196,0.374305802144734,20,0.050012487700581754
MAR,0.3,gender,0.5541228799914673,0.01189972775449948,0.3748135785810667,20,0.054122879991467254
MAR,0.3,insurance,0.5579283515380329,0.014259934513417123,0.38247993750443865,20,0.057928351538032885
MAR,0.3,lab_50802,0.32110827986453444,0.008896265101531962,0.8851395497478872,20,0.17889172013546556
MAR,0.3,lab_50820,0.3228590310602801,0.014474694343945034,0.8783751154037356,20,0.17714096893971992
MAR,0.3,lab_50821,0.3276822400268358,0.008396014362246754,0.8855940629216675,20,0.17231775997316418
MAR,0.3,lab_50861,0.4379851171441983,0.011694946780731007,0.7023009729422627,20,0.0620148828558017
MAR,0.3,lab_50863,0.4315968644574598,0.01035045279053139,0.7107023648888573,20,0.06840313554254018
MAR,0.3,lab_50868,0.5265407349403624,0.011867484906751631,0.43723457140828065,20,0.026540734940362354
MAR,0.3,lab_50878,0.4325485351224976,0.008812390168744104,0.7001881968610184,20,0.06745146487750242
MAR,0.3,lab_50882,0.5251113003207517,0.01058190946847354,0.43680846530786166,20,0.025111300320751706
MAR,0.3,lab_50885,0.4361031942052184,0.010447253917289108,0.7097400752787444,20,0.06389680579478157
MAR,0.3,lab_50893,0.50202110940447,0.014609891155336917,0.48195440664725514,20,0.0020211094044699784
MAR,0.3,lab_50902,0.5264150691841002,0.014641668240080447,0.43454655209147075,20,0.026415069184100193
MAR,0.3,lab_50912,0.5302893859226671,0.008963327696834465,0.42350330232227823,20,0.030289385922667056
MAR,0.3,lab_50931,0.5214781885567474,0.010336213235687258,0.4370463745472623,20,0.021478188556747435
MAR,0.3,lab_50960,0.5108334669968495,0.009274298103965498,0.47287834670833034,20,0.010833466996849506
MAR,0.3,lab_50970,0.5075779173487238,0.013602257285545342,0.48467083303742636,20,0.007577917348723817
MAR,0.3,lab_50971,0.5251951724808939,0.012790138680423783,0.4307790639869327,20,0.025195172480893868
MAR,0.3,lab_50983,0.523307855506618,0.010519397362723766,0.43236275832682336,20,0.023307855506617958
MAR,0.3,lab_51006,0.5311977363778219,0.012845622959165906,0.42997301328030685,20,0.03119773637782186
MAR,0.3,lab_51221,0.5462017595139587,0.013353293349326218,0.3994709182586464,20,0.04620175951395866
