mechanism,rate,split,seed,top1_model,top1_auroc,top2_model,top2_auroc,gap
MAR,0.05,S1,1008,xgb,0.9479060586667429,rf,0.9449019267733128,0.003004131893430184
MAR,0.05,S1,1009,xgb,0.9519650121079707,extratrees,0.9444809547454236,0.007484057362547092
MAR,0.05,S1,1010,xgb,0.9485976198556176,extratrees,0.9467614955159961,0.0018361243396215476
MAR,0.05,S1,1011,extratrees,0.9488807023631324,xgb,0.948210189982898,0.0006705123802344115
MAR,0.05,S1,1012,xgb,0.9542451769638769,extratrees,0.9454314227496001,0.00881375421427677
MAR,0.05,S1,1013,xgb,0.9495324501332701,extratrees,0.9457228969613375,0.003809553171932656
MAR,0.05,S1,1014,rf,0.949551485643142,xgb,0.949476302439787,7.518320335497819e-05
MAR,0.05,S1,1015,xgb,0.9475930576852521,extratrees,0.9438809469338697,0.003712110751382447
MAR,0.05,S1,1016,xgb,0.9502936786674223,extratrees,0.9454649489977504,0.004828729669671961
MAR,0.05,S1,1017,xgb,0.9531821405355752,rf,0.9462885021817584,0.006893638353816733
MAR,0.05,S1,1018,xgb,0.9524770631126428,extratrees,0.9456114641944658,0.006865598918176952
MAR,0.05,S1,1019,xgb,0.9548839848430593,extratrees,0.9471730830702881,0.007710901772771117
MAR,0.05,S1,1020,xgb,0.9520156391076429,extratrees,0.9468597750456785,0.0051558640619643326
MAR,0.05,S2,1001,xgb,0.9537723384106723,extratrees,0.9472734246827615,0.006498913727910782
MAR,0.05,S2,1002,xgb,0.951710228145188,extratrees,0.9430325165804522,0.008677711564735846
MAR,0.05,S2,1003,xgb,0.9538550781006722,extratrees,0.9465257095271549,0.007329368573517292
MAR,0.05,S2,1004,xgb,0.9488864779878341,extratrees,0.9447750469461376,0.004111431041696534
MAR,0.05,S2,1005,xgb,0.9530504097619911,extratrees,0.9470732284874241,0.005977181274566923
MAR,0.05,S2,1006,xgb,0.9499736460189677,extratrees,0.9452028282133587,0.004770817805609062
MAR,0.05,S2,1007,xgb,0.951901101990339,rf,0.9422878206184894,0.00961328137184958
MAR,0.05,S2,1008,xgb,0.9528296690099163,extratrees,0.946118068599672,0.006711600410244323
MAR,0.05,S2,1009,xgb,0.9509495082367344,rf,0.9436895534448274,0.007259954791906997
MAR,0.05,S2,1010,xgb,0.9505176042036869,rf,0.9426948355224326,0.00782276868125431
MAR,0.05,S2,1011,xgb,0.9539927252376188,rf,0.9462156166053104,0.007777108632308405
MAR,0.05,S2,1012,xgb,0.9464164189796559,extratrees,0.9447075066287954,0.0017089123508604587
MAR,0.05,S2,1013,xgb,0.9548831639498617,rf,0.9465179316694037,0.008365232280458046
MAR,0.05,S2,1014,xgb,0.9529229019182648,extratrees,0.9452694597570354,0.007653442161229429
MAR,0.05,S2,1015,xgb,0.9522713080363975,rf,0.9453555544227378,0.006915753613659703
MAR,0.05,S2,1016,xgb,0.9522528125328241,rf,0.94526308927339,0.006989723259434144
MAR,0.05,S2,1017,xgb,0.9545319582921623,rf,0.94630063614457,0.008231322147592257
MAR,0.05,S2,1018,xgb,0.9472049865239681,rf,0.9415963239012252,0.005608662622742955
MAR,0.05,S2,1019,xgb,0.9573046493082037,rf,0.9474307591436549,0.00987389016454876
MAR,0.05,S2,1020,xgb,0.9515310502065428,extratrees,0.9460447223245673,0.005486327881975561
MAR,0.1,S1,1001,xgb,0.9499476079627254,extratrees,0.9452388533575175,0.004708754605207921
MAR,0.1,S1,1002,xgb,0.9466753895770943,extratrees,0.9429429150732848,0.0037324745038095353
MAR,0.1,S1,1003,xgb,0.9446531494280646,rf,0.9436744372071327,0.000978712220931821
MAR,0.1,S1,1004,xgb,0.9439355857200209,rf,0.9400789762053481,0.003856609514672815
MAR,0.1,S1,1005,xgb,0.9496754796931473,extratrees,0.9423224718640911,0.007353007829056124
MAR,0.1,S1,1006,xgb,0.9415970937662287,extratrees,0.9397396575067877,0.0018574362594410143
MAR,0.1,S1,1007,xgb,0.9468763243261826,extratrees,0.9422750779497416,0.004601246376440993
MAR,0.1,S1,1008,xgb,0.944541372560564,extratrees,0.9394309002426017,0.005110472317962356
MAR,0.1,S1,1009,xgb,0.9445689627352483,extratrees,0.9413156694660776,0.003253293269170676
MAR,0.1,S1,1010,xgb,0.9473934815539831,extratrees,0.9446404257167396,0.002753055837243501
MAR,0.1,S1,1011,xgb,0.949097392750657,extratrees,0.9435728712847862,0.005524521465870791
MAR,0.1,S1,1012,xgb,0.9508424891068529,extratrees,0.942609721828715,0.00823276727813782
MAR,0.1,S1,1013,xgb,0.9476878332090607,extratrees,0.9413986562294934,0.006289176979567324
MAR,0.1,S1,1014,xgb,0.9441838635069694,extratrees,0.9393264776871912,0.004857385819778126
MAR,0.1,S1,1015,xgb,0.9430664943123919,rf,0.9392275174513787,0.003838976861013199
MAR,0.1,S1,1016,xgb,0.9472510122639776,extratrees,0.945850067610517,0.001400944653460523
MAR,0.1,S1,1017,xgb,0.9458692686832368,rf,0.9405189657428563,0.005350302940380525
MAR,0.1,S1,1018,xgb,0.9485074639845565,extratrees,0.9445891002729885,0.0039183637115680625
MAR,0.1,S1,1019,xgb,0.953153048247479,extratrees,0.9416531646463419,0.011499883601137184
MAR,0.1,S1,1020,xgb,0.9464219389263476,extratrees,0.9448767810723968,0.0015451578539508182
