mechanism,rate,split,seed,winner_model,winner_auroc,winner_ap,winner_brier
MAR,0.5,S1,1019,xgb,0.7876397572848546,0.15024366597103214,0.02333895675837986
MAR,0.5,S1,1020,rf,0.769109677498386,0.13554842460362979,0.02363563887673854
MAR,0.5,S2,1001,extratrees,0.7690149741879967,0.1435016447393372,0.023742793150548
MAR,0.5,S2,1002,xgb,0.782748153555997,0.13390883996577319,0.02346832752227778
MAR,0.5,S2,1003,rf,0.7793912742119508,0.13118849284745063,0.02382446521208422
MAR,0.5,S2,1004,xgb,0.780586619771138,0.15231475471775602,0.02339032702147956
MAR,0.5,S2,1005,xgb,0.7907304479493525,0.14030016211719581,0.0234855312854051
MAR,0.5,S2,1006,xgb,0.7806549005955895,0.1398660562685621,0.02349143512547012
MAR,0.5,S2,1007,xgb,0.7752789760556484,0.1453691548670955,0.0232818998396396
MAR,0.5,S2,1008,xgb,0.79157448312907,0.13798297668441334,0.023520640283822957
MAR,0.5,S2,1009,xgb,0.7890951583086243,0.1591268812566937,0.023252868652343682
MAR,0.5,S2,1010,rf,0.7750254956056123,0.12723568575110844,0.0236986145552295
MAR,0.5,S2,1011,xgb,0.7731025408222488,0.14667505005856213,0.02327936142683024
MAR,0.5,S2,1012,rf,0.7682857704735075,0.1301427105332135,0.023685885211970743
MAR,0.5,S2,1013,xgb,0.7905857021947086,0.12994809129945412,0.02371129840612406
MAR,0.5,S2,1014,xgb,0.7731922180282476,0.14242729362635126,0.02349667921662326
MAR,0.5,S2,1015,extratrees,0.7725378734556912,0.13537982207417695,0.023831429586401838
MAR,0.5,S2,1016,xgb,0.7829192960642246,0.14842410951307805,0.02334204278886312
MAR,0.5,S2,1017,xgb,0.7698368107425,0.13687215140813175,0.02351657077670092
MAR,0.5,S2,1018,xgb,0.76230729129241,0.1212038789145979,0.02369532398879524
MAR,0.5,S2,1019,xgb,0.7846255410566647,0.1427835559153298,0.02360786944627756
MAR,0.5,S2,1020,rf,0.7737771769434543,0.1314407276205257,0.023723046505556438
MCAR,0.0,S1,1001,xgb,0.9600384894535464,0.5842024011112866,0.015685167722403963
MCAR,0.0,S1,1002,xgb,0.9550617483457096,0.5634138093460291,0.0161458425223827
MCAR,0.0,S1,1003,xgb,0.9533960065247978,0.5609460385592272,0.0160674091428518
MCAR,0.0,S1,1004,xgb,0.9555144604829993,0.5540993824343483,0.016144635900855
MCAR,0.0,S1,1005,xgb,0.9579001868186763,0.5742799940221098,0.01591585781425232
MCAR,0.0,S1,1006,xgb,0.957176169270849,0.5738820961505523,0.0159300852566957
MCAR,0.0,S1,1007,xgb,0.9573386463856224,0.5714659788668562,0.016003664210438678
MCAR,0.0,S1,1008,xgb,0.9516985525752559,0.5597755354366691,0.01617240123450752
MCAR,0.0,S1,1009,xgb,0.9581727656373541,0.5773928187628232,0.015869481861591282
MCAR,0.0,S1,1010,xgb,0.9523843870763748,0.5705778051779341,0.01582240685820574
MCAR,0.0,S1,1011,xgb,0.9544375251639947,0.5771836333125859,0.01583817210048432
MCAR,0.0,S1,1012,xgb,0.9567830059632003,0.5779814686407766,0.01571226250380272
MCAR,0.0,S1,1013,xgb,0.9564389419165785,0.554178534282477,0.016138713993132082
MCAR,0.0,S1,1014,xgb,0.9544847984862613,0.5591339167052946,0.01613870915025468
MCAR,0.0,S1,1015,xgb,0.9543621776080237,0.5790143433906465,0.01581012234091754
MCAR,0.0,S1,1016,xgb,0.9544051784842607,0.5646282142797541,0.0160878343507647
MCAR,0.0,S1,1017,xgb,0.9581064042925757,0.5862341142603955,0.01559020671993488
MCAR,0.0,S1,1018,xgb,0.9559385272454024,0.5693847746001302,0.015938506834208922
MCAR,0.0,S1,1019,xgb,0.960275807411079,0.5759214856933003,0.015814711526036203
MCAR,0.0,S1,1020,xgb,0.9552839155340621,0.5695190915410929,0.01589177399873728
MCAR,0.0,S2,1001,xgb,0.9575756732180458,0.5510209531284048,0.01618723012506956
MCAR,0.0,S2,1002,xgb,0.9556778162288098,0.5585138043173068,0.015971211344003623
MCAR,0.0,S2,1003,xgb,0.9570175299972792,0.5665805514463338,0.0156647672876715
MCAR,0.0,S2,1004,xgb,0.9554435685130205,0.5550263147093284,0.016064985096454577
MCAR,0.0,S2,1005,xgb,0.9574439560358007,0.5635259785605146,0.015978997759520962
MCAR,0.0,S2,1006,xgb,0.9538152843972177,0.5721141515763414,0.01571456175297494
