mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,lr_l2,1009,3,0.8834911105980143,0.3904331406852978,0.0188188821516972,0.003686538491019
MCAR,0.0,S1,lr_l2,1009,4,0.9120252267573696,0.526662017154058,0.0167034862181673,0.0058926340925587
MCAR,0.0,S1,lr_l2,1009,5,0.8906199384515712,0.481855681754096,0.0175635633551594,0.0042785891094282
MCAR,0.0,S1,svm_linear_cal,1009,1,0.8845729609390812,0.4182950938320189,0.0189723414208926,0.0049046012951857
MCAR,0.0,S1,svm_linear_cal,1009,2,0.88699043074476,0.4227497780857774,0.0199916185160809,0.0122103701872626
MCAR,0.0,S1,svm_linear_cal,1009,3,0.8752764308986891,0.4271541285645846,0.0183229894653041,0.0075734242975391
MCAR,0.0,S1,svm_linear_cal,1009,4,0.8979490605766116,0.5048999831944578,0.0175764219950467,0.0070201449786205
MCAR,0.0,S1,svm_linear_cal,1009,5,0.8768626498218335,0.4971017767577563,0.0176180411928662,0.0048328770308928
MCAR,0.0,S1,rf,1009,1,0.9506274033596438,0.5678125996194723,0.0161745927666503,0.0065818304144523
MCAR,0.0,S1,rf,1009,2,0.9365658431463096,0.4714909821699048,0.0177931338655081,0.0027409594555044
MCAR,0.0,S1,rf,1009,3,0.953672490315298,0.5592807523334545,0.0164923183989103,0.0071728030218178
MCAR,0.0,S1,rf,1009,4,0.951965905409783,0.5804461647670734,0.0162769022353764,0.0068327542939192
