mechanism,rate,split,model,seed,auroc_mean,ap_mean,brier_mean,ece_mean,auroc_std,ap_std,brier_std
MAR,0.0,S1,extratrees,1019,0.948670950505498,0.5491399591574874,0.017270848495653558,0.00985473959375376,0.008278323737739143,0.060467371386250704,0.0013921537825802648
MAR,0.0,S1,extratrees,1020,0.9474478429970429,0.5501250723732003,0.01720949670570682,0.01000869006799672,0.01234120381178925,0.09364733136349705,0.0017348280253063565
MAR,0.0,S1,lr_l2,1001,0.8907961848583457,0.43715405986104905,0.01839004786291496,0.00497152790853242,0.022139198110245138,0.07002802164620335,0.0013193711399354937
MAR,0.0,S1,lr_l2,1002,0.8874355886557422,0.44690481981295005,0.0182611109018945,0.00545894235017238,0.02986537603859471,0.07334602054325476,0.0014973819105801082
MAR,0.0,S1,lr_l2,1003,0.8928635930610366,0.4361456580416796,0.0184592309063569,0.00411262583750466,0.009281618625124506,0.06175468853681806,0.0015134084104572816
MAR,0.0,S1,lr_l2,1004,0.8901973372073473,0.4486445232726295,0.01832386300687964,0.00460678778003564,0.02794325814361627,0.06434943784376912,0.0013237888182436584
MAR,0.0,S1,lr_l2,1005,0.8923974895773163,0.4397624795137725,0.01831708600305828,0.00554889069455944,0.02920201995374909,0.0463660663176408,0.0011418335429634876
MAR,0.0,S1,lr_l2,1006,0.8911561780766422,0.44082080913297494,0.01832733805414164,0.0049377642638567,0.01748497464655082,0.03519494513001787,0.0008133875059436724
MAR,0.0,S1,lr_l2,1007,0.8877345122658846,0.4485463609191001,0.01826433381729482,0.0050341197104433605,0.0317617202837443,0.03317013429693008,0.0008149303420863595
MAR,0.0,S1,lr_l2,1008,0.8931035280075266,0.4390928561242157,0.01849974204691628,0.0054299856874962,0.021697249492819235,0.05681694404104679,0.0011220641588511712
MAR,0.0,S1,lr_l2,1009,0.8935806619815876,0.4417004782857898,0.01842783566880692,0.00555106584948066,0.011217083756715065,0.05964358117005529,0.0012539778126630843
MAR,0.0,S1,lr_l2,1010,0.888591219749094,0.4385922548492179,0.01841656860654402,0.00715060419577764,0.03308214630368624,0.02746529116172795,0.0005194586297842606
MAR,0.0,S1,lr_l2,1011,0.888413259456495,0.44057593367668113,0.018330318968500858,0.0059849120352833,0.016787021701524987,0.017347213377830788,0.0006373489839753406
MAR,0.0,S1,lr_l2,1012,0.8924501987473044,0.4450756877482934,0.01837349286222238,0.00668569557572538,0.014933455534351199,0.07577194748039807,0.0015171518612674005
MAR,0.0,S1,lr_l2,1013,0.8890311717408441,0.43542394126294653,0.01842105983932138,0.0058918292544894,0.01736967391468595,0.06600813970628609,0.001311949957781332
MAR,0.0,S1,lr_l2,1014,0.8946384906467415,0.44710446008192245,0.01815242854070582,0.00544666813375234,0.015871962129023028,0.07105580652083801,0.0013602082946711155
MAR,0.0,S1,lr_l2,1015,0.8890700685439228,0.4409995228746569,0.018513838162906242,0.0060888488915625,0.008205301099524158,0.039996236071214816,0.0006980169318596155
MAR,0.0,S1,lr_l2,1016,0.8909570749590788,0.44425340383181994,0.018401151816544177,0.0062724161270513,0.02415940178623096,0.057711190934146665,0.0012732391559684853
MAR,0.0,S1,lr_l2,1017,0.8907770806717059,0.44184013674952594,0.018445834714189,0.00597419490958324,0.015857291521784934,0.052346254876538455,0.0010966600745125625
MAR,0.0,S1,lr_l2,1018,0.8883493961499358,0.44008484883066207,0.0183751657125776,0.0053466910007515,0.015741649604515275,0.05089238860735253,0.0011782565229197684
MAR,0.0,S1,lr_l2,1019,0.8912858753733011,0.4416079121763404,0.01848389063198774,0.00547204067994146,0.0065265133137092785,0.03422608531186765,0.0008812581361088217
MAR,0.0,S1,lr_l2,1020,0.8904863633120235,0.43763537831816385,0.018423637672372577,0.00485601705129402,0.022127616727523967,0.07527243472888194,0.0018819094946012842
MAR,0.0,S1,rf,1001,0.9517452509750148,0.5562706509279572,0.0165712563626009,0.00742563195266326,0.01021091626807572,0.0560317403316661,0.0009754195516522096
MAR,0.0,S1,rf,1002,0.9489684969807527,0.5657508695651099,0.016533972346281,0.00717095877584564,0.011296613375139597,0.07911566845429015,0.0011503500337366156
